DataSet,"#TrainingRelease",%training,%Defective training,%Defective testing,Classifier,Balancing,Feature Selection,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
BOOKKEEPER,4,66.67,16.19,11.36,Naive Bayes,Oversampling,Best First,54.0,56.0,490.0,16.0,0.4909090909090909,0.7714285714285715,0.9163134484563056,0.5354838709677419
BOOKKEEPER,4,66.67,16.19,11.36,Naive Bayes,Undersampling,No selection,9.0,11.0,535.0,61.0,0.45,0.12857142857142856,0.8272239665096808,0.15744680851063772
BOOKKEEPER,4,66.67,16.19,11.36,Naive Bayes,Undersampling,Best First,28.0,38.0,508.0,42.0,0.42424242424242425,0.4,0.8757587650444794,0.3388429752066112
BOOKKEEPER,4,66.67,16.19,11.36,Naive Bayes,Smote,No selection,16.0,16.0,530.0,54.0,0.5,0.22857142857142856,0.8224097331240189,0.26103646833013433
BOOKKEEPER,4,66.67,16.19,11.36,Naive Bayes,Smote,Best First,43.0,25.0,521.0,27.0,0.6323529411764706,0.6142857142857143,0.9155154369440084,0.5756676557863504
BOOKKEEPER,4,66.67,16.19,11.36,IBk,No sampling,No selection,62.0,27.0,519.0,8.0,0.6966292134831461,0.8857142857142857,0.9184458398744113,0.7477890599410418
BOOKKEEPER,4,66.67,16.19,11.36,IBk,No sampling,Best First,48.0,18.0,528.0,22.0,0.7272727272727273,0.6857142857142857,0.8541208791208791,0.6694214876033057
BOOKKEEPER,4,66.67,16.19,11.36,IBk,Oversampling,No selection,62.0,35.0,511.0,8.0,0.6391752577319587,0.8857142857142857,0.9125719518576662,0.7033552837880216
BOOKKEEPER,4,66.67,16.19,11.36,IBk,Oversampling,Best First,53.0,49.0,497.0,17.0,0.5196078431372549,0.7571428571428571,0.8639586603872318,0.5565058032987173
BOOKKEEPER,4,66.67,16.19,11.36,IBk,Undersampling,No selection,64.0,108.0,438.0,6.0,0.37209302325581395,0.9142857142857143,0.8599686028257457,0.4381720430107528
BOOKKEEPER,4,66.67,16.19,11.36,IBk,Undersampling,Best First,61.0,136.0,410.0,9.0,0.3096446700507614,0.8714285714285714,0.82350863422292,0.347514829208427
BOOKKEEPER,4,66.67,16.19,11.36,IBk,Smote,No selection,62.0,28.0,518.0,8.0,0.6888888888888889,0.8857142857142857,0.9175300889586604,0.7420195439739414
BOOKKEEPER,4,66.67,16.19,11.36,IBk,Smote,Best First,51.0,18.0,528.0,19.0,0.7391304347826086,0.7285714285714285,0.8715070643642072,0.6999631404349429
BOOKKEEPER,5,83.33,14.83,3.98,Random Forest,No sampling,No selection,7.0,62.0,566.0,19.0,0.10144927536231885,0.2692307692307692,0.8697023517883391,0.0951112022137948
BOOKKEEPER,5,83.33,14.83,3.98,Random Forest,No sampling,Best First,14.0,65.0,563.0,12.0,0.17721518987341772,0.5384615384615384,0.8523701616854483,0.2200055760354387
BOOKKEEPER,5,83.33,14.83,3.98,Random Forest,Oversampling,No selection,19.0,80.0,548.0,7.0,0.1919191919191919,0.7307692307692307,0.861281234688878,0.25722565990444113
BOOKKEEPER,5,83.33,14.83,3.98,Random Forest,Oversampling,Best First,17.0,77.0,551.0,9.0,0.18085106382978725,0.6538461538461539,0.8517883390494856,0.23573214479834764
BOOKKEEPER,5,83.33,14.83,3.98,Random Forest,Undersampling,No selection,18.0,111.0,517.0,8.0,0.13953488372093023,0.6923076923076923,0.8107239098481137,0.17785383786524706
BOOKKEEPER,5,83.33,14.83,3.98,Random Forest,Undersampling,Best First,21.0,184.0,444.0,5.0,0.1024390243902439,0.8076923076923077,0.79578025477707,0.11970316350221472
BOOKKEEPER,5,83.33,14.83,3.98,Random Forest,Smote,No selection,11.0,63.0,565.0,15.0,0.14864864864864866,0.4230769230769231,0.8708966193042627,0.17123732778788717
BOOKKEEPER,5,83.33,14.83,3.98,Random Forest,Smote,Best First,14.0,67.0,561.0,12.0,0.1728395061728395,0.5384615384615384,0.8485117589416953,0.21439649667001162
BOOKKEEPER,5,83.33,14.83,3.98,Naive Bayes,No sampling,No selection,3.0,8.0,620.0,23.0,0.2727272727272727,0.11538461538461539,0.8486954924056835,0.14187759248285714
BOOKKEEPER,5,83.33,14.83,3.98,Naive Bayes,No sampling,Best First,3.0,18.0,610.0,23.0,0.14285714285714285,0.11538461538461539,0.8427853993140617,0.09552722121028098
BOOKKEEPER,5,83.33,14.83,3.98,Naive Bayes,Oversampling,No selection,5.0,20.0,608.0,21.0,0.2,0.19230769230769232,0.8413461538461539,0.16347413739314878
BOOKKEEPER,5,83.33,14.83,3.98,Naive Bayes,Oversampling,Best First,17.0,91.0,537.0,9.0,0.1574074074074074,0.6538461538461539,0.8237996080352769,0.20263350402340882
BOOKKEEPER,5,83.33,14.83,3.98,Naive Bayes,Undersampling,No selection,2.0,10.0,618.0,24.0,0.16666666666666666,0.07692307692307693,0.8317920137187653,0.08221892025755388
BOOKKEEPER,5,83.33,14.83,3.98,Naive Bayes,Undersampling,Best First,5.0,38.0,590.0,21.0,0.11627906976744186,0.19230769230769232,0.8023946594806467,0.10034973187223051
BOOKKEEPER,5,83.33,14.83,3.98,Naive Bayes,Smote,No selection,5.0,22.0,606.0,21.0,0.18518518518518517,0.19230769230769232,0.8446839784419402,0.1544290095616087
BOOKKEEPER,5,83.33,14.83,3.98,Naive Bayes,Smote,Best First,7.0,54.0,574.0,19.0,0.11475409836065574,0.2692307692307692,0.8396313081822636,0.11137996500763143
BOOKKEEPER,5,83.33,14.83,3.98,IBk,No sampling,No selection,10.0,66.0,562.0,16.0,0.13157894736842105,0.38461538461538464,0.6426996570308672,0.14545222767544164
BOOKKEEPER,5,83.33,14.83,3.98,IBk,No sampling,Best First,15.0,73.0,555.0,11.0,0.17045454545454544,0.5769230769230769,0.8064674179323861,0.2149757073449558
BOOKKEEPER,5,83.33,14.83,3.98,IBk,Oversampling,No selection,16.0,78.0,550.0,10.0,0.1702127659574468,0.6153846153846154,0.7199289563939245,0.2179584737471463
BOOKKEEPER,5,83.33,14.83,3.98,IBk,Oversampling,Best First,18.0,90.0,538.0,8.0,0.16666666666666666,0.6923076923076923,0.7612077413032827,0.21858083394294073
BOOKKEEPER,5,83.33,14.83,3.98,IBk,Undersampling,No selection,19.0,216.0,412.0,7.0,0.08085106382978724,0.7307692307692307,0.6968397844194023,0.07971023637946908
BOOKKEEPER,5,83.33,14.83,3.98,IBk,Undersampling,Best First,21.0,167.0,461.0,5.0,0.11170212765957446,0.8076923076923077,0.7729973052425282,0.135904132739284
BOOKKEEPER,5,83.33,14.83,3.98,IBk,Smote,No selection,10.0,67.0,561.0,16.0,0.12987012987012986,0.38461538461538464,0.6419034786869182,0.14324947125856194
BOOKKEEPER,5,83.33,14.83,3.98,IBk,Smote,Best First,16.0,74.0,554.0,10.0,0.17777777777777778,0.6153846153846154,0.8075085742283195,0.2282535401213757
