Version,File Name,LOC,LOC_touched,NR,NFix,NAuth,LOC_added,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_Churn,Age,Buggy
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/FakeBookie.java,101,201,3,0,2,151,100,50,101,100,33,36,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/ByteStringInterner.java,45,45,1,0,1,45,45,45,45,45,45,36,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java,289,291,2,0,2,290,289,145,289,289,144,36,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/TerminateJVMExceptionHandler.java,32,38,2,0,2,35,31,17,32,31,16,36,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/TopicOpQueuer.java,111,111,1,0,1,111,111,111,111,111,111,36,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java,35,37,2,0,2,36,35,18,35,35,17,36,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/ChannelEndPoint.java,81,81,1,0,1,81,81,81,81,81,81,36,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryCallback.java,27,27,1,0,1,27,27,27,27,27,27,36,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryEndPoint.java,28,28,1,0,1,28,28,28,28,28,28,36,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryManager.java,29,31,2,0,2,30,29,15,29,29,14,36,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java,566,634,4,0,3,600,561,150,566,561,141,36,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/BaseHandler.java,64,96,2,0,2,80,64,40,64,64,32,36,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ChannelDisconnectListener.java,29,31,2,0,2,30,29,15,29,29,14,36,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ConsumeHandler.java,64,66,2,0,2,65,64,32,64,64,32,36,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/Handler.java,37,43,2,0,2,40,37,20,37,37,18,36,NO
