DataSet,"#TrainingRelease",%training,%Defective training,%Defective testing,Classifier,Balancing,Feature Selection,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
ZOOKEEPER,3,15.79,11.80,12.28,IBk,No sampling,No selection,10.0,7.0,193.0,18.0,0.5882352941176471,0.35714285714285715,0.6610714285714285,0.38762354963472284
ZOOKEEPER,3,15.79,11.80,12.28,IBk,No sampling,Best First,2.0,11.0,189.0,26.0,0.15384615384615385,0.07142857142857142,0.5707142857142857,0.02134570765661299
ZOOKEEPER,3,15.79,11.80,12.28,IBk,Oversampling,No selection,11.0,10.0,190.0,17.0,0.5238095238095238,0.39285714285714285,0.6638392857142857,0.3841536614645856
ZOOKEEPER,3,15.79,11.80,12.28,IBk,Oversampling,Best First,5.0,14.0,186.0,23.0,0.2631578947368421,0.17857142857142858,0.60125,0.12598425196850396
ZOOKEEPER,3,15.79,11.80,12.28,IBk,Undersampling,No selection,14.0,21.0,179.0,14.0,0.4,0.5,0.6667857142857143,0.3566591422121895
ZOOKEEPER,3,15.79,11.80,12.28,IBk,Undersampling,Best First,16.0,41.0,159.0,12.0,0.2807017543859649,0.5714285714285714,0.6623214285714286,0.2535211267605635
ZOOKEEPER,3,15.79,11.80,12.28,IBk,Smote,No selection,11.0,7.0,193.0,17.0,0.6111111111111112,0.39285714285714285,0.6789285714285714,0.4227848101265824
ZOOKEEPER,3,15.79,11.80,12.28,IBk,Smote,Best First,3.0,11.0,189.0,25.0,0.21428571428571427,0.10714285714285714,0.5849107142857143,0.06642402183803459
ZOOKEEPER,4,21.05,11.93,10.43,Random Forest,No sampling,No selection,11.0,15.0,234.0,18.0,0.4230769230769231,0.3793103448275862,0.8568757789779808,0.33434915106660845
ZOOKEEPER,4,21.05,11.93,10.43,Random Forest,No sampling,Best First,13.0,21.0,228.0,16.0,0.38235294117647056,0.4482758620689655,0.7441490098324332,0.3381804143610862
ZOOKEEPER,4,21.05,11.93,10.43,Random Forest,Oversampling,No selection,17.0,30.0,219.0,12.0,0.3617021276595745,0.5862068965517241,0.8500207727461571,0.36550374959243587
ZOOKEEPER,4,21.05,11.93,10.43,Random Forest,Oversampling,Best First,13.0,42.0,207.0,16.0,0.23636363636363636,0.4482758620689655,0.7375709735493698,0.2002777502231919
ZOOKEEPER,4,21.05,11.93,10.43,Random Forest,Undersampling,No selection,22.0,59.0,190.0,7.0,0.2716049382716049,0.7586206896551724,0.8254396897936573,0.29109033304999615
ZOOKEEPER,4,21.05,11.93,10.43,Random Forest,Undersampling,Best First,21.0,106.0,143.0,8.0,0.16535433070866143,0.7241379310344828,0.6972718460047085,0.11971557135714683
ZOOKEEPER,4,21.05,11.93,10.43,Random Forest,Smote,No selection,12.0,18.0,231.0,17.0,0.4,0.41379310344827586,0.8559756266445091,0.3363797571954715
ZOOKEEPER,4,21.05,11.93,10.43,Random Forest,Smote,Best First,13.0,26.0,223.0,16.0,0.3333333333333333,0.4482758620689655,0.7215067165212574,0.29840163441894013
ZOOKEEPER,4,21.05,11.93,10.43,Naive Bayes,No sampling,No selection,11.0,19.0,230.0,18.0,0.36666666666666664,0.3793103448275862,0.7914416285832987,0.29845860046378436
ZOOKEEPER,4,21.05,11.93,10.43,Naive Bayes,No sampling,Best First,16.0,33.0,216.0,13.0,0.32653061224489793,0.5517241379310345,0.7516964409361584,0.32130347096911177
ZOOKEEPER,4,21.05,11.93,10.43,Naive Bayes,Oversampling,No selection,12.0,26.0,223.0,17.0,0.3157894736842105,0.41379310344827586,0.8151225592023266,0.27207404701010823
ZOOKEEPER,4,21.05,11.93,10.43,Naive Bayes,Oversampling,Best First,17.0,39.0,210.0,12.0,0.30357142857142855,0.5862068965517241,0.7505193186539261,0.3043862231380632
ZOOKEEPER,4,21.05,11.93,10.43,Naive Bayes,Undersampling,No selection,17.0,27.0,222.0,12.0,0.38636363636363635,0.5862068965517241,0.7893643539675945,0.3889076766993575
ZOOKEEPER,4,21.05,11.93,10.43,Naive Bayes,Undersampling,Best First,17.0,38.0,211.0,12.0,0.3090909090909091,0.5862068965517241,0.7465724968840881,0.3105842674337863
ZOOKEEPER,4,21.05,11.93,10.43,Naive Bayes,Smote,No selection,17.0,29.0,220.0,12.0,0.3695652173913043,0.5862068965517241,0.7965655726353691,0.37311626883731164
ZOOKEEPER,4,21.05,11.93,10.43,Naive Bayes,Smote,Best First,16.0,33.0,216.0,13.0,0.32653061224489793,0.5517241379310345,0.7486497714997923,0.32130347096911177
ZOOKEEPER,4,21.05,11.93,10.43,IBk,No sampling,No selection,14.0,29.0,220.0,15.0,0.32558139534883723,0.4827586206896552,0.6831463786179199,0.30190617509416723
ZOOKEEPER,4,21.05,11.93,10.43,IBk,No sampling,Best First,15.0,49.0,200.0,14.0,0.234375,0.5172413793103449,0.6902783547985044,0.20901454249841914
ZOOKEEPER,4,21.05,11.93,10.43,IBk,Oversampling,No selection,16.0,56.0,193.0,13.0,0.2222222222222222,0.5517241379310345,0.6782994045146101,0.19747301481047594
ZOOKEEPER,4,21.05,11.93,10.43,IBk,Oversampling,Best First,15.0,64.0,185.0,14.0,0.189873417721519,0.5172413793103449,0.6022019110926464,0.1477085134816443
